,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
2079,2080,EIM,Eaton Vance Municipal Bond Fund,Financial,Asset Management,USA,847330000.0,20.21,,,13.8,0.93,,,4.1,,0.62,,,,,,,4.2,68170000.0,,1.36,,42.65,,,0.03,,,,,,,,,,,0.08,-1.04,0.24,10.88,5.61,10.1,,0.08,0.58,0.59,-1.02,-0.43,5.66,-2.13,1.64,-2.13,14.04,42.65,-0.48,0.24,,254870.0,0.74,12.43,-0.24,193732.0,-,,8/28/2002
2080,2081,EIRL,iShares MSCI Ireland ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,0.78,-0.05,13.07,-11.6,12.44,,0.4,0.64,0.74,-0.66,-1.72,0.6,-5.11,2.48,-14.21,15.39,44.39,0.02,0.0,,13810.0,1.47,41.61,0.02,19914.0,-,,5/11/2010
2081,2082,EIS,iShares MSCI Israel Capped ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,3.93,0.87,12.78,5.95,12.62,,0.53,0.49,0.78,2.44,0.45,1.24,-3.62,5.15,-6.61,17.34,58.62,0.61,0.06,,28440.0,0.17,54.53,0.67,4745.0,-,,3/28/2008
2082,2083,EIV,23135,Financial,Asset Management,USA,,,,,,,,,,,-0.29,,,,,,,-7.9,10010000.0,,2.95,,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-
2083,2084,EIX,Edison International,Utilities,Electric Utilities,USA,21980000000000.0,,14.26,,1.7,2.09,67.0,,3.63,,-1.23,-144.6,1.85,-20.3,6.15,0.1,27.5,10.1,326000000.0,325370000.0,0.06,0.0,88.1,-1.99,1.52,2.28,-0.7,-3.2,0.7,0.7,0.7,1.49,1.59,57.5,-4.1,-2.8,3.06,12.91,8.87,18.26,7.15,18.74,0.13,1.73,2.21,2.77,8.31,9.45,9.18,2.26,15.78,-5.06,48.15,68.32,3.18,0.32,2.2,2170000.0,2.14,67.41,3.52,4579999.0,Jul 25/a,71.96,1/2/1980
2084,2085,EKAR,Innovation Shares NextGen Vehicles and Technology ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,6.31,-1.67,10.22,-19.68,6.27,,0.17,0.15,0.14,3.31,-0.49,-5.49,-10.43,8.63,-19.55,10.22,56.21,0.0,0.94,,390.0,0.17,20.03,0.94,68.0,-,,2/13/2018
2085,2086,EKSO,"Ekso Bionics Holdings, Inc.",Healthcare,Medical Instruments & Supplies,USA,96490000.0,,,,7.78,18.14,10.49,,,,-0.41,46.1,32.3,,,,23.4,44.0,75980000.0,73140000.0,0.1,,36.4,5.5,3.51,5.75,-121.9,-501.0,-355.7,1.7,1.4,0.47,0.98,41.3,,,0.0,-11.81,-49.4,-5.22,-25.73,2.42,1.74,0.1,4.88,6.22,-3.0,-24.89,-34.69,-47.74,7.63,-61.52,7.63,36.48,-2.31,0.0,2.0,445710.0,1.04,1.27,-2.31,458690.0,Jul 31/a,3.5,1/17/2014
2086,2087,EL,The Estee Lauder Companies Inc.,Consumer Goods,Personal Products,USA,65879999999999.99,36.21,31.63,3.02,4.52,14.44,22.7,59.67,0.94,32.5,5.06,22.0,10.88,9.6,11.97,6.1,53.0,11.1,359780000.0,208400000.0,0.1,-91.56,93.2,1.06,3.34,4.95,14.3,40.3,19.6,1.7,1.3,0.63,0.74,77.7,16.3,12.5,0.99,10.57,10.61,42.62,26.29,40.75,0.8,2.81,1.15,1.53,3.57,6.54,21.76,-0.86,13.85,-0.86,50.75,65.22,0.28,0.3,2.1,1400000.0,0.88,183.11,0.58,1235857.0,Jul 31/b,178.22,11/17/1995
2087,2088,ELAN,Elanco Animal Health Incorporated,Healthcare,Drugs - Generic,USA,12530000000000.0,444.74,26.34,34.84,4.09,2.38,46.05,,,,0.08,124.5,17.38,-15.1,12.77,9.7,-65.3,-0.7,370680000.0,364730000.0,0.2,,35.45,,3.68,4.03,,,2.0,3.2,1.8,0.47,0.47,49.1,,,0.21,7.27,5.39,8.37,,7.2,,0.88,2.99,2.52,2.79,4.29,5.26,-4.68,10.46,-10.13,20.71,57.25,-1.34,0.0,2.4,3330000.0,1.84,33.8,-1.34,6069038.0,Aug 08/b,35.4,9/20/2018
2088,2089,ELC,"Entergy Louisiana, LLC COLLATERAL TR MT",Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.72,2.68,15.4,5.16,11.45,,0.13,0.64,0.46,2.46,2.6,8.15,0.86,3.42,0.86,20.71,77.43,1.02,-0.16,,23850.0,4.47,25.7,0.86,101879.0,-,,10/13/2010
2089,2090,ELD,WisdomTree Emerging Markets Local Debt Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4.9,3.42,6.12,2.94,5.52,,0.28,0.63,0.73,2.15,3.56,4.68,-0.08,5.71,-0.08,11.66,67.82,0.2,0.23,,40120.0,0.42,35.35,0.43,17543.0,-,,8/9/2010
2090,2091,ELF,"e.l.f. Beauty, Inc.",Consumer Goods,Personal Products,USA,707540000.0,,33.02,,2.64,3.15,13.13,14.41,,,-0.07,-28.9,13.56,5.35,7.15,,,0.3,50180000.0,26530000.0,6.7,-50.61,84.1,-2.58,14.66,4.94,-0.7,-1.4,6.2,3.0,2.1,0.64,0.69,60.9,1.2,-1.2,7.88,31.78,33.02,65.49,-14.23,62.82,,0.51,4.46,4.07,13.99,15.58,28.84,-2.02,41.0,-16.59,110.29,68.4,-1.05,0.28,2.6,786630.0,2.24,14.1,-0.77,1737793.0,Aug 07/a,11.33,9/22/2016
2091,2092,ELGX,"Endologix, Inc.",Healthcare,Medical Instruments & Supplies,USA,122500000.0,,,,0.82,3.87,,,,,-8.78,-14.5,29.2,-28.7,36.95,3.4,10.1,-15.8,16920000.0,16320000.0,2.4,20.7,49.5,13.37,7.01,3.47,-26.4,-231.2,-26.8,1.6,0.9,10.49,0.0,57.9,-40.7,-54.7,-7.65,1.69,9.53,4.93,-87.58,1.12,0.39,0.35,5.36,5.04,-2.68,5.48,-18.96,-11.06,27.02,-87.73,39.34,47.49,-0.55,-0.27,,329810.0,3.7,7.24,-0.82,1158300.0,Aug 01/a,8.63,6/21/1996
2092,2093,ELLO,Ellomay Capital Ltd.,Utilities,Electric Utilities,Israel,114130000.0,111.89,,,5.54,1.31,,,,,0.1,117.3,,-36.2,,6.9,,56.1,10200000.0,1230000.0,69.8,0.0,14.0,163.47,0.17,0.48,,,1.4,1.0,1.0,0.0,0.0,32.9,,,6.56,36.95,22.87,39.88,31.48,43.08,0.91,0.63,10.64,4.86,18.15,26.31,32.03,-9.55,46.45,-9.55,51.2,73.23,-3.54,3.11,,4390.0,0.32,11.19,-0.54,1384.0,Apr 04/a,11.3,10/9/1995
2093,2094,ELMD,"Electromed, Inc.",Healthcare,Medical Appliances & Equipment,USA,45620000.0,23.19,,1.55,1.48,1.85,6.08,32.58,,0.0,0.24,-8.3,,28.3,15.0,13.7,-7.0,2.8,8369999.999999999,6860000.0,6.7,1.82,26.7,2.9,0.13,0.66,7.3,8.5,8.7,7.4,6.6,0.0,0.0,77.3,9.3,6.5,-0.55,10.1,5.83,7.71,3.22,7.07,0.42,0.22,2.86,4.28,2.79,-0.47,-3.67,-12.1,14.74,-25.65,16.95,51.25,0.48,0.07,,13180.0,1.19,5.45,0.55,15617.0,Aug 06/a,6.0,8/13/2010
2094,2095,ELOX,"Eloxx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,397400000.0,,,,,10.39,7.43,,,,-1.47,69.3,-2.1,50.8,,,-6.3,,39860000.0,28310000.0,0.3,,19.2,0.78,3.02,13.06,-88.5,-107.1,,6.6,6.6,0.39,0.42,,,,6.63,3.85,-14.64,-20.62,-46.31,-16.99,1.83,0.86,8.54,10.99,5.25,-4.34,-19.6,-25.93,17.43,-49.59,17.43,51.77,-0.1,-0.1,2.0,65450.0,4.07,9.97,-0.2,251796.0,Aug 08/b,18.0,4/26/1999
2095,2096,ELP,Companhia Paranaense de Energia - COPEL,Utilities,Electric Utilities,Brazil,3320000000000.0,8.44,,4.44,0.82,0.8,4.84,24.14,3.15,77.3,1.51,36.1,,5.6,1.9,10.2,42.9,16.3,261740000.0,21700000.0,55.6,0.0,29.1,1.04,10.22,4.8,4.4,9.7,6.8,1.0,1.0,0.47,0.68,24.0,17.3,10.2,-0.7,7.45,36.85,66.32,144.98,62.2,0.55,0.36,2.43,2.62,2.26,11.25,43.49,-3.97,38.5,-3.97,179.91,62.21,1.03,1.13,2.0,462280.0,1.17,12.7,2.17,538812.0,Apr 11/a,12.0,6/3/1998
2096,2097,ELS,"Equity LifeStyle Properties, Inc.",Financial,REIT - Residential,USA,10770000000000.0,43.57,45.86,3.76,10.89,9.22,92.22,44.86,2.02,74.0,2.79,3.1,-1.05,24.6,11.6,6.2,86.1,5.3,88770000.0,85420000.0,1.8,-0.41,97.5,-0.52,1.78,2.74,6.9,23.8,9.1,,,1.99,1.99,52.7,32.3,26.9,-0.62,2.86,6.16,25.88,33.5,24.93,0.27,1.97,1.81,1.64,-0.8,1.88,13.88,-3.45,9.08,-3.45,36.0,50.7,1.14,0.24,2.7,555300.0,1.74,121.34,1.39,950413.0,Jul 22/a,116.0,2/25/1993
2097,2098,ELSE,"Electro-Sensors, Inc.",Technology,Scientific & Technical Instruments,USA,11490000.0,70.64,,,1.47,0.89,1.32,57.44,,0.0,0.05,-102.9,,-15.0,,2.8,84.7,17.6,3460000.0,2240000.0,81.42,0.18,5.4,2.75,0.04,0.44,1.2,1.3,-1.1,18.4,15.8,0.0,0.0,53.9,0.8,2.1,-0.9,-8.69,-0.9,-9.58,-16.37,-2.35,0.4,0.07,0.96,0.89,-4.27,-4.81,-8.52,-12.4,1.53,-18.02,6.75,42.82,0.0,-2.35,,2250.0,0.07,3.32,-2.35,159.0,Aug 12/b,,4/2/1990
2098,2099,ELTK,Eltek Ltd.,Technology,Printed Circuit Boards,Israel,19490000.0,,,,0.58,7.63,17.72,19.49,,,-0.84,30.9,,-20.0,,-7.5,136.1,-2.2,4480000.0,1520000.0,25.3,0.0,1.5,-19.23,4.4,0.05,-8.1,-129.3,-27.4,0.7,0.4,0.17,4.33,10.9,-3.1,-5.0,15.38,-47.72,98.0,45.0,5.07,105.2,-4.7,0.96,13.17,16.79,-9.32,42.61,49.56,-62.37,239.84,-62.37,239.84,53.46,-1.14,-1.35,,1430000.0,0.11,4.35,-2.47,160521.0,May 29/b,,1/23/1997
2099,2100,ELU,"Entergy Louisiana, LLC 1ST MTG BD",Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.55,2.76,18.98,7.38,18.09,,0.15,0.65,0.6,2.05,2.43,9.36,0.4,3.9,0.4,24.65,74.94,0.56,-0.12,,8890.0,5.1,25.33,0.44,42800.0,-,,5/23/2013
2100,2101,ELVT,"Elevate Credit, Inc.",Financial,Credit Services,USA,180090000.0,11.14,5.22,,0.23,1.34,1.85,0.52,,0.0,0.37,72.0,32.77,17.4,,61.3,40.2,-2.1,43710000.0,32520000.000000004,3.1,,67.7,3.77,1.04,2.93,2.2,13.8,13.7,,,3.96,3.96,88.1,12.8,2.1,-5.29,-1.9,-5.07,-4.85,-51.01,-8.04,,0.16,3.92,3.77,-4.83,-7.64,-17.69,-17.27,3.26,-63.44,11.05,34.93,-0.72,0.0,2.5,116030.0,5.34,4.12,-0.72,579435.0,Jul 29/a,5.58,4/6/2017
2101,2102,ELY,Callaway Golf Company,Consumer Goods,Sporting Goods,USA,1620000000000.0,18.47,14.32,0.6,1.2,2.19,20.57,43.87,0.23,4.2,0.93,115.4,13.88,40.8,30.9,8.1,-22.1,28.0,94590000.0,92340000.0,1.4,2.05,92.9,-2.61,12.01,7.14,7.2,12.2,13.2,1.6,0.9,0.63,0.93,45.5,8.3,6.7,-5.97,16.02,7.72,11.14,-10.34,12.16,1.26,0.5,2.6,2.69,1.85,3.77,-5.02,-7.24,18.39,-30.44,18.83,51.71,-1.04,0.46,2.2,1550000.0,2.52,17.16,-0.58,3804143.0,Aug 08/a,22.45,2/28/1992
2102,2103,EMAG,VanEck Vectors Emerging Markets Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,3.54,3.66,6.24,-3.5,7.33,,0.1,0.25,0.13,2.38,2.81,4.6,-0.29,4.11,-0.29,9.09,69.66,-0.33,0.87,,920.0,0.67,21.52,0.54,606.0,-,,5/12/2011
2103,2104,EMAN,eMagin Corporation,Technology,Semiconductor Equipment & Materials,USA,23300000.0,,,,0.91,1.23,6.66,,,,-0.2,7.1,55.6,18.4,20.0,-1.3,35.3,-11.6,51210000.0,45050000.0,8.36,-17.95,32.6,-6.29,1.06,3.46,,,-64.8,1.8,0.8,0.0,0.15,23.7,,,-4.81,-18.02,-45.46,-53.57,-74.0,-55.83,0.15,0.03,8.7,6.75,-11.41,-15.55,-52.31,-27.17,0.0,-75.41,0.0,31.7,-5.21,1.44,2.0,138120.0,0.81,0.46,-3.85,110841.0,Aug 08/b,2.0,1/21/2000
2104,2105,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,3.09,2.93,9.48,6.33,9.03,,0.53,0.33,0.37,1.44,2.7,5.42,-0.58,4.5,-0.58,10.91,66.05,-0.09,0.24,,4480000.0,0.52,113.29,0.15,2345027.0,-,,12/19/2007
2105,2106,EMBH,iShares Interest Rate Hedged Emerging Markets Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1.46,-0.38,1.97,-3.42,3.2,,0.1,0.23,0.18,0.83,0.34,-0.26,-1.27,2.46,-4.08,3.73,54.65,-0.04,0.18,,5330.0,0.07,25.01,0.14,374.0,-,,7/30/2015
2106,2107,EMCB,WisdomTree Emerging Markets Corporate Bond Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,1.91,3.12,7.29,3.49,6.72,,0.37,0.22,0.29,0.96,1.5,4.29,-0.19,2.54,-0.19,8.19,60.5,-0.37,0.74,,4059.9999999999995,0.82,72.57,0.37,3273.0,-,,3/8/2012
2107,2108,EMCF,Emclaire Financial Corp,Financial,Regional - Northeast Banks,USA,88470000.0,22.42,,,2.68,1.08,4.47,49.15,3.71,57.3,1.39,-52.5,,-10.6,,9.6,29.5,28.6,2830000.0,2250000.0,3.7,3.31,6.6,4.47,0.1,1.17,0.6,7.1,18.3,,,0.41,0.45,,78.6,14.7,-1.7,-1.39,-0.76,-6.21,-6.55,3.03,0.49,0.96,0.45,2.01,-2.65,-0.21,-5.21,-9.39,4.81,-19.22,9.03,47.05,0.0,-4.55,,1990.0,0.14,31.26,-4.55,271.0,Jul 24/a,,3/8/1999
2108,2109,EMCG,WisdomTree Emerging Markets Consumer Growth Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,6.57,1.34,14.02,0.89,13.22,,0.19,0.52,0.44,2.92,2.45,5.85,-3.31,8.06,-4.38,18.71,59.99,-0.09,0.31,,4910.0,0.5,22.52,0.22,2707.0,-,,9/27/2013
2109,2110,EMCI,EMC Insurance Group Inc.,Financial,Property & Casualty Insurance,USA,781130000.0,29.8,22.52,5.96,1.11,1.27,3905.65,13.06,2.55,74.5,1.21,-124.5,8.47,-16.6,5.0,3.1,,25.0,21680000.0,19920000.0,2.2,0.0,82.2,0.28,0.37,2.79,1.5,4.5,-1.2,,,0.04,0.04,,4.1,3.7,0.03,-0.33,13.02,14.31,29.51,13.12,0.32,0.14,0.34,0.37,0.05,3.33,16.85,-0.58,16.08,-0.58,56.79,69.4,0.03,-0.08,3.0,26330.0,2.3,36.03,-0.06,58710.0,Aug 08/b,34.5,3/26/1990
2110,2111,EMD,Western Asset Emerging Markets Debt Fund Inc.,Financial,Closed-End Fund - Debt,USA,869880000.0,,,,10.0,0.97,,,8.38,,-1.68,,,,,,,-6.4,60750000.0,,,,41.69,,,,,,,,,,,,,,1.7,4.45,4.99,17.28,7.27,16.52,,0.12,0.68,0.74,2.8,3.34,7.37,-0.62,6.47,-0.62,21.15,75.96,0.0,0.14,,146450.0,1.75,14.32,0.14,252337.0,Jul 11/a,,11/19/2008
2111,2112,EMDV,ProShares MSCI Emerging Markets Dividend Growers ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,3.57,1.4,9.83,8.39,9.19,,0.46,0.31,0.29,1.65,2.24,5.32,-1.94,6.18,-3.27,19.66,57.4,-0.13,-0.2,,2620.0,0.2,58.45,-0.33,532.0,-,,1/27/2016
2112,2113,EME,"EMCOR Group, Inc.",Industrial Goods,General Contractors,USA,4950000000000.0,16.82,15.19,1.12,0.59,2.73,19.64,24.22,0.36,6.1,5.24,54.5,5.61,17.8,15.0,5.1,36.2,13.6,56170000.0,54870000.0,1.9,-4.01,98.0,-0.65,1.2,1.84,7.4,17.0,14.4,1.4,1.4,0.15,0.17,14.8,5.1,3.6,5.18,8.24,20.55,47.25,15.0,47.6,1.18,1.56,1.61,1.73,5.24,7.02,20.88,2.23,15.81,2.23,53.78,70.68,1.8,0.42,2.0,357980.0,1.61,88.1,2.23,574176.0,Jul 30/b,89.4,12/28/1995
2113,2114,EMF,Templeton Emerging Markets Fund,Financial,Closed-End Fund - Foreign,Singapore,253270000.0,,,,37.05,0.92,,,1.32,,-1.8,,,,,,-85.5,-0.9,16770000.0,,,,37.98,,,,,,,,,,,,,,0.4,6.56,1.48,16.69,10.32,14.39,,0.15,0.76,0.86,2.95,2.25,6.84,-3.27,7.7,-3.27,22.21,61.15,-0.59,0.26,,28260.0,0.81,15.1,-0.33,22631.0,-,,1/11/1990
2114,2115,EMFM,Global X Next Emerging & Frontier ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,2.99,2.64,4.99,-2.0,7.05,,0.16,0.38,0.47,0.42,1.86,1.89,-2.23,6.34,-6.61,8.34,53.89,-0.25,0.42,,4220.0,0.24,21.05,0.17,1046.0,-,,11/7/2013
2115,2116,EMGF,iShares Edge MSCI Multifactor Emerging Markets ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,5.86,-1.43,9.8,-6.19,8.8,,0.43,0.59,0.73,2.77,2.04,1.6,-4.42,7.91,-10.21,12.1,58.76,-0.07,-0.09,,62090.0,0.3,42.14,-0.17,18623.0,-,,12/18/2015
2116,2117,EMHY,iShares Emerging Markets High Yield Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,3.22,2.14,8.0,3.91,7.71,,0.23,0.39,0.38,1.83,2.73,4.0,-0.25,4.38,-0.25,8.51,69.85,0.03,0.18,,79520.0,2.29,47.79,0.21,177534.0,-,,4/3/2012
2117,2118,EMIF,iShares Emerging Markets Infrastructure ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,7.02,1.9,7.1,-1.05,4.74,,0.26,0.84,0.49,2.15,3.56,2.38,-1.76,9.15,-4.85,9.15,61.27,-0.71,0.65,,2400.0,0.28,28.99,-0.06,662.0,-,,6/19/2009
2118,2119,EMIH,Interest Rate Hedged ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.04,1.39,4.2,-0.84,4.34,,0.09,0.03,0.07,1.14,0.76,1.61,-0.48,2.98,-0.65,5.95,60.75,0.0,0.23,,1020.0,0.0,23.7,0.23,1.0,-,,3/4/2015
2119,2120,EMITF,Elbit Imaging Ltd.,Financial,Property Management,Israel,5350000.0,,,,0.05,,0.19,,,,-4.09,8.7,,54.0,,11.4,83.2,-98.5,9720000.0,9190000.0,56.1,0.0,44.76,,0.04,0.52,,,-30.0,0.3,,,,-2.8,,,10.0,-42.11,-50.0,-70.27,-74.06,-57.69,0.91,0.11,14.81,13.49,3.22,-26.24,-60.81,-50.0,37.5,-77.82,37.5,45.89,20.0,-15.13,,6650.0,0.06,0.55,1.85,400.0,-,,11/27/1996
2120,2121,EMKR,EMCORE Corporation,Technology,Semiconductor - Integrated Circuits,USA,93010000.0,,,,1.05,0.93,1.84,,,,-0.9,-320.6,92.0,-25.6,15.0,7.0,-59.9,16.7,28270000.0,24710000.0,1.7,0.0,60.9,-3.0,0.75,1.33,-18.7,-23.8,-17.2,3.5,2.8,0.0,0.0,19.4,-28.2,-28.0,-3.52,-8.61,-9.86,-17.54,-35.49,-21.67,0.24,0.15,2.93,5.04,-5.57,-10.21,-22.56,-21.67,1.23,-40.61,1.23,34.19,-2.08,0.6,2.0,138730.0,0.5,3.29,-1.5,68900.0,Aug 07/b,5.87,3/7/1997
2121,2122,EML,The Eastern Company,Industrial Goods,Small Tools & Accessories,USA,169240000.0,14.19,,,0.72,1.77,12.44,,1.57,,1.97,83.4,,14.9,,10.5,-49.1,2.5,6040000.0,5360000.0,4.0,0.0,65.8,1.04,0.35,2.5,,,11.3,3.5,1.7,0.26,0.29,24.5,,,7.32,11.68,1.82,19.74,-2.03,15.88,0.83,0.9,3.16,3.67,8.14,5.95,3.58,-3.55,18.38,-9.47,29.29,64.91,2.83,0.37,,7560.0,3.75,28.02,3.2,27022.0,Jul 31,,3/17/1992
2122,2123,EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,5.7,4.02,5.79,2.42,5.15,,0.18,0.36,0.45,2.74,4.22,4.32,0.12,6.74,-0.69,10.23,76.04,-0.03,0.2,,2000000.0,0.45,34.7,0.17,919908.0,-,,7/23/2010
2123,2124,EMLP,First Trust North American Energy Infrastructure Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,2.36,1.7,19.14,9.83,17.25,,0.22,0.82,0.76,0.35,1.1,5.57,-1.22,3.6,-1.22,23.28,54.03,0.8,-0.04,,393510.0,1.05,25.15,0.76,415120.0,-,,6/21/2012
2124,2125,EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,61990000.0,2.73,,2.73,0.54,0.84,11.48,8.61,,0.0,1.74,-67.7,,-14.5,1.0,-11.1,66.7,-21.3,13050000.0,10850000.0,5.1,-5.08,54.2,3.83,0.08,0.73,9.6,32.5,22.2,0.5,0.5,0.68,1.12,20.2,35.2,20.5,1.5,29.26,28.38,38.97,-15.63,48.9,1.25,0.2,3.18,5.34,13.1,23.67,17.7,-4.04,38.6,-15.03,51.76,73.35,-0.42,0.84,,12320.0,1.46,4.75,0.42,17848.0,Aug 08/b,1.0,2/23/1994
2125,2126,EMN,Eastman Chemical Company,Basic Materials,Chemicals - Major Diversified,USA,10820000000000.0,11.32,8.35,1.56,1.09,1.85,55.48,14.58,3.19,32.4,6.87,3.7,9.83,-0.1,7.24,1.7,-25.5,-8.7,139000000.0,138110000.0,0.4,0.0,85.7,-0.03,2.25,2.65,6.1,17.2,10.7,1.5,0.8,0.96,1.11,24.9,14.6,10.1,2.13,15.42,2.57,7.06,-21.49,6.46,1.35,1.64,1.52,2.13,6.64,4.41,-2.38,-9.69,20.03,-25.11,20.03,65.07,0.7,0.32,2.2,1170000.0,1.3,77.83,1.03,1508845.0,Jul 25/a,90.39,12/14/1993
2126,2127,EMO,ClearBridge Energy Midstream Opportunity Fund Inc,Financial,Closed-End Fund - Equity,USA,287000000.0,,,,,,,,10.0,,,,,,,,,,31200000.0,,16.01,,8.5,,,,,,,,,,,,,,0.88,0.88,-4.27,20.26,-15.75,17.8,,0.13,0.92,1.21,1.18,-1.4,-4.93,-6.6,2.68,-24.84,25.51,51.53,0.55,0.44,,174370.0,1.89,9.2,0.99,324988.0,-,20.0,6/14/2011
2127,2128,EMP,"Entergy Mississippi, Inc. 1M BD 66",Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.54,3.37,18.44,4.84,15.98,,0.16,0.75,0.61,1.59,1.97,8.04,0.31,3.7,0.31,21.8,66.55,0.98,-0.2,,19270.0,5.14,25.76,0.78,93629.0,-,,1/3/2000
2128,2129,EMQQ,EMQQ The Emerging Markets Internet & Ecommerce ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,7.21,-2.46,18.79,-9.68,20.22,,0.51,1.03,1.27,3.57,0.31,5.05,-9.06,9.31,-14.91,23.98,54.96,-0.43,0.37,,84120.0,0.49,32.11,-0.06,41843.0,-,,11/17/2014
2129,2130,EMR,Emerson Electric Co.,Industrial Goods,Industrial Electrical Equipment,USA,40970000000000.0,20.26,16.61,2.49,2.27,4.8,29.6,46.08,2.94,52.6,3.29,24.1,10.21,2.7,8.13,-6.7,11.0,7.6,614000000.0,611130000.0,0.4,-1.62,73.1,-1.6,1.15,2.33,11.2,27.1,14.4,1.1,0.8,0.44,0.74,42.7,16.3,12.8,1.66,9.02,-2.56,12.46,-2.67,11.67,1.32,1.14,1.06,1.72,4.77,1.11,-1.14,-8.9,11.01,-16.29,20.47,59.5,0.74,0.2,2.2,3020000.0,2.42,66.72,0.94,7114971.0,Aug 06/b,72.68,6/1/1972
2130,2131,EMSH,ProShares Short Term USD Emerging Markets Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,1.12,1.63,3.39,-0.07,3.39,,0.15,0.12,0.14,0.56,0.93,2.24,-4.95,2.37,-4.95,4.32,65.13,-0.16,-0.01,,920.0,0.4,76.15,-0.17,360.0,-,,11/22/2013
2131,2132,EMTL,SPDR DoubleLine Emerging Markets Fixed Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,2.46,2.99,7.9,5.72,7.55,,0.15,0.26,0.29,1.4,2.28,4.73,0.02,3.39,0.02,8.94,84.58,0.04,0.17,,11540.0,0.26,51.19,0.21,3014.0,-,,4/26/2016
